,라벨명,등장 횟수,평균 스코어,표준편차,최대 스코어,최소 스코어
182,Engine knocking,8,0.09103079745545983,0.09549198008407779,0.16480252146720886,0.051374174654483795
183,Camera,8,0.15153493080288172,0.24041467913709963,0.279732882976532,0.05437123030424118
184,Single-lens reflex camera,8,0.1394177619367838,0.22678701250028815,0.3092506527900696,0.056839726865291595
185,"Rowboat, canoe, kayak",8,0.1951915230602026,0.5705174428318225,0.6026416420936584,0.05114781856536865
186,Gurgling,8,0.0625604703091085,0.028991694893687803,0.08700697869062424,0.05129111558198929
187,Sigh,8,0.2552464855834842,0.6174679535770636,0.7125100493431091,0.050383031368255615
188,Conversation,8,0.05820658104494214,0.02549918088998321,0.07814373075962067,0.05073137208819389
189,Cash register,7,0.13099218479224614,0.36246807377735324,0.46270814538002014,0.05116482079029083
190,Doorbell,7,0.1684212807033743,0.5158153643303117,0.6238110661506653,0.0555894672870636
191,Mains hum,7,0.16138311156204768,0.2739966669120368,0.40222418308258057,0.06177179515361786
192,Timpani,7,0.20961997019393103,0.3545967462148907,0.507210373878479,0.08822543919086456
193,Scrape,7,0.09035832381674222,0.0817892384482323,0.14839111268520355,0.055444322526454926
194,"Bee, wasp, etc.",7,0.14843569695949554,0.3502936132032132,0.46904677152633667,0.06445422768592834
195,Clock,7,0.08290064228432519,0.06830229115228215,0.12964072823524475,0.05538903921842575
196,Sawing,7,0.12016898074320384,0.11673794358341033,0.17208227515220642,0.05463476479053497
197,Wheeze,7,0.13354132696986198,0.18465247830080045,0.27532145380973816,0.05967753008008003
198,"Vehicle horn, car horn, honking",7,0.1454773715564183,0.3218789528461477,0.41801729798316956,0.05019259452819824
199,Change ringing (campanology),7,0.1426462648170335,0.2897711960237504,0.37512707710266113,0.053109560161828995
200,Cricket,7,0.2148639378803117,0.4814384979859472,0.5973892211914062,0.05744965374469757
201,Caw,7,0.09262257069349289,0.10849096653468854,0.18457163870334625,0.053657129406929016
202,Crow,7,0.11629365118486541,0.16423890171253666,0.25938403606414795,0.056044336408376694
203,Television,7,0.08295059363756861,0.07135618629319752,0.14024515450000763,0.0527191124856472
204,Machine gun,7,0.16301539593509265,0.18205875966600835,0.2614328861236572,0.05129077658057213
205,"Smoke detector, smoke alarm",6,0.1575518511235714,0.26105657915684144,0.3764365613460541,0.07027823477983475
206,Ringtone,6,0.09460150512556235,0.11638000624904055,0.19354595243930817,0.05274024233222008
207,Throbbing,6,0.09191147858897845,0.0961636034669688,0.15646307170391083,0.05351337790489197
208,Typing,6,0.23644200836618742,0.504398668155761,0.6665300726890564,0.05283641070127487
209,Pulleys,6,0.14600182448824248,0.21504752906005947,0.297451376914978,0.05028156191110611
210,"Fly, housefly",6,0.163060221200188,0.36226530166212706,0.48583781719207764,0.06060009077191353
211,Pump (liquid),6,0.07008829216162364,0.02679176549768922,0.08393704891204834,0.05175982415676117
212,Knock,6,0.07791792539258798,0.0709219364759079,0.13945309817790985,0.05097511038184166
213,Cough,6,0.1778905919442574,0.23018078105051462,0.3361213803291321,0.05635029450058937
214,Toot,6,0.180775448679924,0.18444735657176387,0.2789069712162018,0.06314313411712646
215,Sonar,5,0.07577629536390304,0.036532609332932404,0.10816437005996704,0.06359386444091797
216,"Dental drill, dentist's drill",5,0.10162333697080612,0.13856755538279963,0.2240835726261139,0.05268700420856476
217,Computer keyboard,5,0.26200354248285296,0.47017407392681765,0.6607707142829895,0.10908292979001999
218,Mechanical fan,5,0.0648160882294178,0.05015909473704153,0.10935128480195999,0.05034419149160385
219,Thunk,5,0.19078600779175758,0.4856248154669989,0.6226189732551575,0.05311517044901848
220,Alarm,5,0.09488939195871353,0.057450423694423394,0.13584209978580475,0.0602797195315361
221,"Crumpling, crinkling",5,0.14218148738145828,0.1568730465909682,0.27060383558273315,0.06448201090097427
222,Heavy engine (low frequency),5,0.066100212931633,0.017594274606905252,0.07765331864356995,0.05612805858254433
223,Roar,5,0.10618557706475258,0.12889809329403096,0.21250677108764648,0.05191762372851372
224,Shuffle,5,0.107845339179039,0.10598809731190804,0.18278829753398895,0.061442673206329346
225,Keyboard (musical),5,0.09025221690535545,0.08592572464132212,0.15954507887363434,0.052556950598955154
226,Owl,5,0.14251554310321807,0.24433413242670984,0.3554573059082031,0.06458941847085953
227,Church bell,5,0.16111039370298386,0.2385760310748032,0.2984553873538971,0.06453767418861389
228,Rustling leaves,5,0.08277061507105828,0.04286489346282619,0.10912816971540451,0.05290330573916435
229,Foghorn,5,0.11565107852220535,0.14894769217440731,0.23993441462516785,0.05402832478284836
230,Squeal,5,0.09819095432758332,0.06632698049792203,0.14631028473377228,0.06425902992486954
231,"Cattle, bovinae",5,0.10515255630016326,0.12314982019307426,0.19530357420444489,0.05256231501698494
232,Bowed string instrument,5,0.1364601194858551,0.1262954574674416,0.23627671599388123,0.06969935446977615
233,Ambient music,5,0.0759941354393959,0.03605474828596934,0.09788487106561661,0.0549217090010643
234,"Livestock, farm animals, working animals",5,0.12637727856636047,0.10731628353658369,0.2018287032842636,0.05165853351354599
235,Drum,5,0.08527361005544662,0.04108698868598804,0.11006078869104385,0.06624025106430054
236,Sheep,5,0.12086814641952515,0.19109895620088388,0.2648341953754425,0.05410545691847801
237,"Burst, pop",5,0.08223341405391693,0.04837993065139788,0.12369276583194733,0.06457275152206421
238,Light engine (high frequency),4,0.18438975140452385,0.23548784731424896,0.32261061668395996,0.06612259149551392
239,Alarm clock,4,0.15132679603993893,0.2043837717250486,0.3256407380104065,0.06675312668085098
240,Sound effect,4,0.053118184208869934,0.004535659143208086,0.05603691563010216,0.050269532948732376
241,Typewriter,4,0.1574014201760292,0.17470853813835568,0.3030771315097809,0.07900048047304153
